Annotation Cluster 1	Enrichment Score: 0.7506222270005514
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_ALL	GO:0044424~intracellular part	69	76.66666666666667	0.04188856498900917	2145, 327657, 23204, 7593, 4494, 10857, 9922, 51043, 163050, 60625, 8841, 1101, 353497, 3198, 25897, 79786, 22800, 84824, 5329, 7280, 5600, 347902, 80317, 55298, 55299, 1852, 1717, 64976, 6695, 7511, 643641, 3916, 153768, 117581, 58491, 83752, 90007, 58488, 23676, 79366, 2074, 53358, 57222, 55217, 345275, 8815, 6909, 7768, 23193, 55839, 5799, 9167, 116984, 728294, 29964, 65095, 4723, 26509, 116535, 94081, 83540, 25914, 27102, 10497, 909, 30832, 10783, 7009, 55142	80	12340	15899	1.1112550648298218	0.9999707914680842	0.9999707914680842	42.5223219482118
GOTERM_CC_ALL	GO:0005634~nucleus	40	44.44444444444444	0.051266399399146956	2145, 90007, 83752, 7593, 4494, 23676, 10857, 79366, 51043, 9922, 163050, 2074, 60625, 8841, 353497, 8815, 6909, 3198, 7768, 55839, 29964, 65095, 7280, 5600, 347902, 80317, 55299, 26509, 116535, 1852, 1717, 64976, 83540, 643641, 30832, 117581, 58491, 10783, 7009, 55142	80	6314	15899	1.2590275578080456	0.9999973502506533	0.9983721949297473	49.39221450654052
GOTERM_CC_ALL	GO:0005622~intracellular	69	76.66666666666667	0.09214404744320509	2145, 327657, 23204, 7593, 4494, 10857, 9922, 51043, 163050, 60625, 8841, 1101, 353497, 3198, 25897, 79786, 22800, 84824, 5329, 7280, 5600, 347902, 80317, 55298, 55299, 1852, 1717, 64976, 6695, 7511, 643641, 3916, 153768, 117581, 58491, 83752, 90007, 58488, 23676, 79366, 2074, 53358, 57222, 55217, 345275, 8815, 6909, 7768, 23193, 55839, 5799, 9167, 116984, 728294, 29964, 65095, 4723, 26509, 116535, 94081, 83540, 25914, 27102, 10497, 909, 30832, 10783, 7009, 55142	80	12646	15899	1.0843656096789498	0.9999999999429658	0.9910622760112316	71.37900248494074
GOTERM_CC_ALL	GO:0043231~intracellular membrane-bounded organelle	56	62.22222222222222	0.10208769616160775	2145, 23204, 7593, 4494, 10857, 51043, 9922, 163050, 60625, 8841, 353497, 3198, 22800, 5329, 7280, 5600, 347902, 80317, 55298, 55299, 1852, 1717, 64976, 643641, 3916, 153768, 117581, 58491, 83752, 90007, 23676, 79366, 2074, 57222, 55217, 8815, 6909, 7768, 23193, 55839, 5799, 9167, 728294, 29964, 65095, 4723, 26509, 116535, 94081, 83540, 10497, 909, 30832, 10783, 7009, 55142	80	9875	15899	1.1270177215189874	0.9999999999961178	0.9765648272229798	75.1808879213221
GOTERM_CC_ALL	GO:0043229~intracellular organelle	60	66.66666666666666	0.10599537908348142	2145, 23204, 7593, 4494, 10857, 9922, 51043, 163050, 60625, 8841, 353497, 3198, 25897, 22800, 5329, 7280, 5600, 347902, 80317, 55298, 55299, 1852, 1717, 64976, 6695, 643641, 3916, 153768, 117581, 58491, 83752, 90007, 23676, 79366, 2074, 57222, 55217, 345275, 8815, 6909, 7768, 23193, 55839, 5799, 9167, 728294, 29964, 65095, 4723, 26509, 116535, 94081, 83540, 25914, 10497, 909, 30832, 10783, 7009, 55142	80	10738	15899	1.1104721549636802	0.9999999999986606	0.9672008348891177	76.54295165056868
GOTERM_CC_ALL	GO:0043226~organelle	64	71.11111111111111	0.12302219717379115	2145, 23204, 7593, 4494, 10857, 9922, 51043, 163050, 60625, 8841, 353497, 81533, 3198, 25897, 22800, 5329, 7280, 5600, 347902, 80317, 55298, 55299, 1852, 1717, 64976, 6695, 7511, 643641, 3916, 153768, 117581, 58491, 83752, 90007, 23676, 79366, 962, 2074, 57222, 924, 55217, 345275, 8815, 6909, 7768, 23193, 55839, 5799, 9167, 728294, 29964, 65095, 4723, 26509, 116535, 94081, 83540, 25914, 10497, 909, 30832, 10783, 7009, 55142	80	11670	15899	1.0899057412167954	0.9999999999999877	0.9715319559365632	81.71064129617703
GOTERM_CC_ALL	GO:0043227~membrane-bounded organelle	60	66.66666666666666	0.15514693487122894	2145, 23204, 7593, 4494, 10857, 51043, 9922, 163050, 60625, 8841, 353497, 81533, 3198, 22800, 5329, 7280, 5600, 347902, 80317, 55298, 55299, 1852, 1717, 64976, 7511, 643641, 3916, 153768, 117581, 58491, 83752, 90007, 23676, 79366, 962, 2074, 57222, 924, 55217, 8815, 6909, 7768, 23193, 55839, 5799, 9167, 728294, 29964, 65095, 4723, 26509, 116535, 94081, 83540, 10497, 909, 30832, 10783, 7009, 55142	80	10935	15899	1.0904663923182443	1.0	0.9675497976917153	88.71624992618871
GOTERM_CC_ALL	GO:0044422~organelle part	42	46.666666666666664	0.22549849870070776	2145, 90007, 83752, 23204, 23676, 10857, 79366, 51043, 2074, 60625, 57222, 8841, 55217, 8815, 353497, 25897, 55839, 23193, 5799, 9167, 5329, 728294, 65095, 7280, 5600, 55298, 4723, 55299, 26509, 116535, 94081, 1717, 64976, 83540, 25914, 909, 3916, 153768, 30832, 10783, 7009, 55142	80	7480	15899	1.1159057486631017	1.0	0.9796956297107653	96.33727756847902
GOTERM_CC_ALL	GO:0044446~intracellular organelle part	41	45.55555555555556	0.23708806229077858	2145, 90007, 83752, 23204, 10857, 79366, 51043, 2074, 60625, 57222, 8841, 55217, 8815, 353497, 25897, 55839, 23193, 5799, 9167, 5329, 728294, 65095, 7280, 5600, 55298, 4723, 55299, 26509, 116535, 94081, 1717, 64976, 83540, 25914, 909, 3916, 153768, 30832, 7009, 10783, 55142	80	7314	15899	1.1140603636860813	1.0	0.9794334176630886	96.98653407757945
GOTERM_CC_ALL	GO:0044464~cell part	75	83.33333333333334	0.32207341327901984	2145, 327657, 23204, 7593, 4494, 10857, 9922, 51043, 163050, 60625, 8841, 1101, 353497, 3198, 25897, 79786, 22800, 84824, 5329, 7280, 5600, 347902, 80317, 83416, 55298, 55299, 1240, 1852, 1717, 64976, 6695, 7511, 3916, 643641, 153768, 117581, 58491, 286133, 90007, 83752, 58488, 23676, 79366, 962, 53358, 2074, 57222, 924, 55217, 345275, 8815, 6909, 7768, 23193, 55839, 5799, 9167, 116984, 728294, 29964, 65095, 4723, 26509, 116535, 94081, 400935, 83540, 25914, 27102, 10497, 909, 30832, 10783, 7009, 55142	80	14540	15899	1.0251246561210454	1.0	0.9807827853785505	99.34644142249684
